Actual Arrival Time,Flight Id,Destination,Pax,Origin
2024-01-02 21:49:00,ROU1865,179,247,Security
2024-01-02 21:53:00,UAL3434,166B,97,Security
2024-01-02 23:31:00,ACA0792,176,245,Security
2024-01-02 23:33:00,UAL3593,164A,95,Security
2024-01-02 23:44:00,UAL6098,164B,82,Security
2024-01-02 23:46:00,ACA1091,174,357,Security
2024-01-02 23:52:00,ACA1205,161,0,Security
2024-01-02 23:57:00,CMP0470,181,204,Security
2024-01-03 00:06:00,ACA1029,169,377,Security
2024-01-03 00:09:00,ROU1669,170,236,Security
2024-01-03 01:05:00,ACA0742,175,201,Security
2024-01-03 01:55:00,ROU1813,179,246,Security
2024-01-03 05:31:00,ACA0043,174,378,Security
2024-01-03 05:33:00,ACA0091,177,394,Security
2024-01-03 06:43:00,MSR0995,173,425,Security
2024-01-03 06:58:00,ACA1280,161,361,Security
2024-01-03 07:06:00,ACA0992,170,187,Security
2024-01-03 07:15:00,ACA0057,177,488,Security
2024-01-03 07:18:00,AIC0187,171,402,Security
2024-01-03 07:46:00,JZA0873,164B,65,Security
2024-01-03 07:54:00,ACA0794,169,376,Security
2024-01-03 07:57:00,JZA0541,162,73,Security
2024-01-03 09:21:00,JZA0983,166B,61,Security
2024-01-03 09:24:00,UAE0241,173,634,Security
2024-01-03 09:30:00,JZA0716,160,71,Security
2024-01-03 09:46:00,UAL3522,162,85,Security
2024-01-03 09:55:00,UAL5450,164B,95,Security
2024-01-03 09:58:00,JZA0985,168,69,Security
2024-01-03 10:19:00,ROU1621,163,254,Security
2024-01-03 10:27:00,JZA0875,164A,65,Security
2024-01-03 10:55:00,ACA0801,179,385,Security
2024-01-03 11:05:00,ROU1643,167,168,Security
2024-01-03 11:09:00,JZA0948,166A,62,Security
2024-01-03 11:30:00,UAL3551,164B,67,Security
2024-01-03 11:32:00,JZA0543,162,78,Security
2024-01-03 11:53:00,JZA0732,166B,57,Security
2024-01-03 12:25:00,JZA0877,160,65,Security
2024-01-03 12:40:00,ACA0502,161,127,Security
2024-01-03 12:49:00,ACA0841,180,367,Security
2024-01-03 12:52:00,JZA0987,166B,86,Security
2024-01-03 13:31:00,ACA1087,174,378,Security
2024-01-03 13:39:00,LRC0626,172,232,Security
2024-01-03 13:42:00,UAL3543,164A,98,Security
2024-01-03 13:56:00,JZA0989,160,89,Security
2024-01-03 14:07:00,ACA0809,165,330,Security
2024-01-03 14:09:00,ROU1657,176,222,Security
2024-01-03 14:16:00,ACA1201,177,326,Security
2024-01-03 14:18:00,ACA0811,173,389,Security
2024-01-03 14:21:00,ACA1023,175,389,Security
2024-01-03 14:31:00,ACA0855,171,394,Security
2024-01-03 14:31:00,ROU7101,168,0,Security
2024-01-03 14:36:00,ACA0095,179,376,Security
2024-01-03 14:37:00,UAL3523,166B,93,Security
2024-01-03 14:45:00,ACA0829,170,385,Security
2024-01-03 14:49:00,ROU1741,181,255,Security
2024-01-03 14:59:00,ACA0956,178,318,Security
2024-01-03 14:59:00,UAL6179,162,99,Security
2024-01-03 15:01:00,ACA0873,169,388,Security
2024-01-03 15:24:00,JZA0879,164A,86,Security
2024-01-03 15:29:00,ROU1811,174,258,Security
2024-01-03 15:33:00,JZA0991,166B,86,Security
2024-01-03 16:05:00,ACA1361,170,181,Security
2024-01-03 16:25:00,DLH0470,172,388,Security
2024-01-03 16:39:00,ACA2095,165,361,Security
2024-01-03 16:51:00,UAL3556,160,89,Security
2024-01-03 17:01:00,JZA0993,162,71,Security
2024-01-03 17:11:00,ACA0010,179,582,Security
2024-01-03 17:22:00,ACA1323,181,188,Security
2024-01-03 17:24:00,ACA0093,161,380,Security
2024-01-03 17:28:00,UAL3566,164B,87,Security
2024-01-03 17:36:00,JZA0555,164A,74,Security
2024-01-03 17:53:00,ACA0857,178,531,Security
2024-01-03 18:15:00,JZA0881,160,85,Security
2024-01-03 18:17:00,ACA1288,169,368,Security
2024-01-03 18:21:00,ACA0983,165,336,Security
2024-01-03 18:26:00,UAL5462,162,97,Security
2024-01-03 18:32:00,THY0017,172,457,Security
2024-01-03 18:41:00,ACA0931,177,529,Security
2024-01-03 18:47:00,UAL6169,164B,86,Security
2024-01-03 19:04:00,ROU1761,168,177,Security
2024-01-03 19:10:00,ACA0935,176,396,Security
2024-01-03 19:14:00,ACA0062,174,393,Security
2024-01-03 19:37:00,UAL3504,164B,99,Security
2024-01-03 19:38:00,ACA0002,175,496,Security
2024-01-03 19:46:00,JZA0722,160,69,Security
2024-01-03 19:48:00,ACA0965,178,330,Security
2024-01-03 19:50:00,ACA0843,171,376,Security
2024-01-03 19:59:00,ACA0936,168,195,Security
2024-01-03 20:01:00,ACA0990,163,188,Security
2024-01-03 20:15:00,ACA0837,165,367,Security
2024-01-03 20:15:00,LOT0045,173,375,Security
2024-01-03 20:38:00,EVA0036,176,409,Security
2024-01-03 20:45:00,ACA0740,161,118,Security
2024-01-03 21:06:00,ACA0859,179,529,Security
2024-01-03 21:09:00,JZA0997,164A,50,Security
2024-01-03 21:13:00,ACA0788,169,335,Security
2024-01-03 21:15:00,ACA0967,180,378,Security
2024-01-03 21:16:00,JZA0883,160,90,Security
2024-01-03 21:18:00,AVA0204,181,236,Security
2024-01-03 21:19:00,ROU1879,161,173,Security
2024-01-03 21:22:00,ACA0946,166,221,Security
2024-01-03 21:40:00,ROU1827,163,245,Security
2024-01-03 21:51:00,UAL3434,162,99,Security
2024-01-03 21:54:00,TAP0261,172,206,Security
2024-01-03 21:57:00,JZA0999,164A,69,Security
2024-01-03 22:12:00,ACA1320,161,206,Security
2024-01-03 23:28:00,UAL6098,166B,82,Security
2024-01-03 23:35:00,UAL3593,160,93,Security
2024-01-03 23:36:00,ROU1661,178,212,Security
2024-01-03 23:47:00,ACA1205,169,0,Security
2024-01-03 23:59:00,ROU1700,168,251,Security
2024-01-04 00:01:00,ACA0792,179,249,Security
2024-01-04 00:08:00,ACA1091,161,380,Security
2024-01-04 00:39:00,ACA1029,161,393,Security
2024-01-04 01:01:00,ACA0742,178,216,Security
2024-01-04 01:10:00,ROU1755,176,258,Security
2024-01-04 02:01:00,ROU1813,172,249,Security
2024-01-04 05:18:00,ACA0091,171,394,Security
2024-01-04 06:55:00,ACA0043,169,390,Security
2024-01-04 07:11:00,ACA1280,177,352,Security
2024-01-04 07:12:00,MSR0995,173,449,Security
2024-01-04 07:14:00,ACA0992,181,175,Security
2024-01-04 07:15:00,ACA0794,165,373,Security
2024-01-04 07:34:00,AIC0187,171,386,Security
2024-01-04 07:46:00,JZA0929,162,29,Security
2024-01-04 07:47:00,JZA0873,160,70,Security
2024-01-04 08:18:00,ETH0552,179,423,Security
2024-01-04 08:18:00,UAL1164,168,173,Security
2024-01-04 08:48:00,JZA0983,162,74,Security
2024-01-04 09:12:00,UAE0241,173,642,Security
2024-01-04 09:28:00,ACA0057,175,466,Security
2024-01-04 09:37:00,JZA0716,160,52,Security
2024-01-04 09:43:00,UAL3522,168,89,Security
2024-01-04 10:05:00,UAL5450,164B,87,Security
2024-01-04 10:33:00,JZA0875,162,87,Security
2024-01-04 10:36:00,ROU1663,161,236,Security
2024-01-04 10:40:00,JZA0553,160,67,Security
2024-01-04 10:45:00,ACA0807,178,365,Security
2024-01-04 10:58:00,JZA0783,166A,75,Security
2024-01-04 11:06:00,ROU1643,163,179,Security
2024-01-04 11:19:00,JZA0746,166B,70,Security
2024-01-04 11:21:00,UAL3551,168,91,Security
2024-01-04 12:35:00,JZA0877,160,90,Security
2024-01-04 12:48:00,JZA0922,162,20,Security
2024-01-04 12:55:00,JZA0987,164A,81,Security
2024-01-04 13:09:00,ACA0841,170,371,Security
2024-01-04 13:25:00,ACA0887,169,314,Security
2024-01-04 13:41:00,UAL3543,168,98,Security
2024-01-04 13:54:00,LRC0626,172,238,Security
2024-01-04 13:55:00,JZA0617,166B,67,Security
2024-01-04 14:04:00,ACA1087,178,390,Security
2024-01-04 14:22:00,ACA0809,179,326,Security
2024-01-04 14:25:00,ACA1201,174,333,Security
2024-01-04 14:31:00,ACA0956,175,320,Security
2024-01-04 14:34:00,UAL3523,164B,95,Security
2024-01-04 14:35:00,ACA0855,161,394,Security
2024-01-04 14:37:00,ROU1741,181,259,Security
2024-01-04 14:40:00,ACA1023,161,390,Security
2024-01-04 14:42:00,ROU1657,177,220,Security
2024-01-04 14:43:00,ACA0873,165,388,Security
2024-01-04 14:45:00,TAP0257,180,175,Security
2024-01-04 14:50:00,ACA0837,171,378,Security
2024-01-04 15:31:00,JZA0991,160,67,Security
2024-01-04 15:39:00,JZA0879,164A,85,Security
2024-01-04 15:41:00,ROU1811,178,249,Security
2024-01-04 16:02:00,ROU1819,168,238,Security
2024-01-04 16:13:00,DLH0470,174,389,Security
2024-01-04 16:16:00,ACA0596,166,160,Security
2024-01-04 16:22:00,ACA0881,171,504,Security
2024-01-04 16:33:00,UAL3556,162,79,Security
2024-01-04 16:40:00,ACA0891,172,389,Security
2024-01-04 16:53:00,ACA1323,181,210,Security
2024-01-04 17:00:00,ACA0002,176,502,Security
2024-01-04 17:14:00,ACA0825,170,394,Security
2024-01-04 17:17:00,JZA0993,160,98,Security
2024-01-04 17:45:00,DAT0741,166,184,Security
2024-01-04 18:00:00,JZA0881,164B,95,Security
2024-01-04 18:08:00,ACA0983,169,337,Security
2024-01-04 18:08:00,JZA0555,162,82,Security
2024-01-04 18:24:00,ACA0857,178,528,Security
2024-01-04 18:26:00,ACA0931,176,531,Security
2024-01-04 18:35:00,ACA0093,161,373,Security
2024-01-04 18:36:00,ACA1288,180,307,Security
2024-01-04 18:50:00,THY0017,174,463,Security
2024-01-04 19:01:00,ACA0935,165,396,Security
2024-01-04 19:07:00,UAL6169,160,86,Security
2024-01-04 19:25:00,ACA0990,181,179,Security
2024-01-04 19:36:00,ACA0062,170,393,Security
2024-01-04 19:37:00,ACA0740,168,138,Security
2024-01-04 19:42:00,UAL3504,164A,99,Security
2024-01-04 19:43:00,ACA0788,172,327,Security
2024-01-04 19:59:00,UAL5462,164B,97,Security
2024-01-04 20:20:00,ACA0843,177,394,Security
2024-01-04 20:35:00,ROU1775,168,176,Security
2024-01-04 20:38:00,EVA0036,172,426,Security
2024-01-04 20:57:00,ACA0967,180,376,Security
2024-01-04 21:00:00,ACA0506,166,130,Security
2024-01-04 21:00:00,ACA0859,179,524,Security
2024-01-04 21:14:00,JZA0995,164B,87,Security
2024-01-04 21:15:00,AVA0204,181,228,Security
2024-01-04 21:24:00,JZA0997,160,45,Security
2024-01-04 21:33:00,UAL3434,162,99,Security
2024-01-04 21:37:00,ROU1879,161,169,Security
2024-01-04 21:43:00,ACA1032,163,134,Security
2024-01-04 21:44:00,ACA1339,168,224,Security
2024-01-04 21:48:00,ROU1833,165,257,Security
2024-01-04 22:04:00,JZA0999,164A,85,Security
2024-01-04 22:35:00,LOT0045,173,328,Security
2024-01-04 23:35:00,ROU1700,168,254,Security
2024-01-04 23:38:00,UAL3593,166B,93,Security
2024-01-04 23:40:00,ACA1091,161,390,Security
2024-01-04 23:50:00,UAL6098,164B,89,Security
2024-01-04 23:56:00,ACA1205,165,0,Security
2024-01-04 23:57:00,CMP0470,181,212,Security
2024-01-05 00:04:00,ACA1247,177,172,Security
2024-01-05 00:11:00,ACA0936,174,197,Security
2024-01-05 01:01:00,ACA1029,169,390,Security
2024-01-05 01:01:00,ROU1661,178,0,Security
2024-01-05 01:15:00,ROU1755,175,255,Security
2024-01-05 01:33:00,ROU1813,172,243,Security
2024-01-05 05:41:00,ACA0091,177,394,Security
2024-01-05 06:37:00,ACA0043,174,397,Security
2024-01-05 06:44:00,ACA0992,172,196,Security
2024-01-05 06:59:00,ACA1280,178,351,Security
2024-01-05 07:20:00,ACA0057,175,528,Security
2024-01-05 07:31:00,JZA0770,160,52,Security
2024-01-05 07:32:00,MSR0995,173,451,Security
2024-01-05 07:36:00,AIC0187,171,386,Security
2024-01-05 07:51:00,JZA0541,164B,64,Security
2024-01-05 08:42:00,ETH0552,174,442,Security
2024-01-05 08:54:00,JZA0983,162,64,Security
2024-01-05 09:29:00,UAE0241,173,647,Security
2024-01-05 09:43:00,UAL5450,166B,97,Security
2024-01-05 09:51:00,JZA0716,160,70,Security
2024-01-05 10:04:00,UAL3522,164A,91,Security
2024-01-05 10:38:00,JZA0875,162,73,Security
2024-01-05 10:48:00,ROU1663,165,236,Security
2024-01-05 10:49:00,ACA0801,175,392,Security
2024-01-05 10:54:00,JZA0553,168,74,Security
2024-01-05 11:29:00,JZA0681,164A,81,Security
2024-01-05 11:34:00,UAL3551,166B,90,Security
2024-01-05 12:14:00,JZA0894,162,49,Security
2024-01-05 12:18:00,JZA0732,160,58,Security
2024-01-05 12:28:00,JZA0877,168,81,Security
2024-01-05 12:52:00,JZA0783,164A,56,Security
2024-01-05 13:06:00,JZA0987,166B,95,Security
2024-01-05 13:23:00,ACA0841,170,381,Security
2024-01-05 13:32:00,ACA0887,178,311,Security
2024-01-05 13:35:00,UAL3543,166A,98,Security
2024-01-05 13:38:00,ACA1087,174,386,Security
2024-01-05 13:45:00,LRC0626,172,238,Security
2024-01-05 13:48:00,JZA0952,168,71,Security
2024-01-05 14:00:00,ACA0811,176,389,Security
2024-01-05 14:11:00,ACA1201,169,333,Security
2024-01-05 14:14:00,ACA1023,165,393,Security
2024-01-05 14:33:00,UAL3523,164B,98,Security
2024-01-05 14:35:00,ACA0809,175,331,Security
2024-01-05 14:37:00,ACA0855,161,394,Security
2024-01-05 14:37:00,JZA0989,162,93,Security
2024-01-05 14:39:00,ACA0095,177,375,Security
2024-01-05 14:40:00,UAL6179,164A,91,Security
2024-01-05 14:41:00,ACA0956,179,336,Security
2024-01-05 14:49:00,ACA0837,171,365,Security
2024-01-05 15:02:00,ACA0873,173,389,Security
2024-01-05 15:17:00,JZA0879,166B,83,Security
2024-01-05 15:28:00,ROU1811,178,216,Security
2024-01-05 15:29:00,JZA0991,166A,79,Security
2024-01-05 15:38:00,ROU1741,181,257,Security
2024-01-05 15:52:00,ROU1665,180,251,Security
2024-01-05 16:06:00,UAL3476,164B,93,Security
2024-01-05 16:35:00,DLH0470,176,389,Security
2024-01-05 16:50:00,ACA0010,174,596,Security
2024-01-05 17:03:00,JZA0993,162,82,Security
2024-01-05 17:07:00,ACA1323,181,251,Security
2024-01-05 17:21:00,ACA0881,179,386,Security
2024-01-05 17:31:00,UAL3566,164A,89,Security
2024-01-05 17:40:00,JZA0555,168,95,Security
2024-01-05 17:45:00,ACA0093,161,390,Security
2024-01-05 18:04:00,JZA0881,160,90,Security
2024-01-05 18:08:00,ACA0002,172,521,Security
2024-01-05 18:08:00,ACA0857,175,529,Security
2024-01-05 18:16:00,ACA0829,170,373,Security
2024-01-05 18:20:00,ACA0931,177,520,Security
2024-01-05 18:24:00,ACA1288,180,380,Security
2024-01-05 18:29:00,UAL5462,162,95,Security
2024-01-05 18:36:00,ACA0935,174,393,Security
2024-01-05 18:36:00,THY0017,176,467,Security
2024-01-05 18:52:00,UAL6169,164B,70,Security
2024-01-05 19:01:00,ACA0062,169,393,Security
2024-01-05 19:27:00,ACA0990,181,202,Security
2024-01-05 19:28:00,UAL3504,164A,94,Security
2024-01-05 19:38:00,ACA0983,174,336,Security
2024-01-05 19:42:00,ACA0788,175,336,Security
2024-01-05 20:02:00,ACA0843,171,382,Security
2024-01-05 20:17:00,JZA0995,164B,95,Security
2024-01-05 20:20:00,ACA0965,161,222,Security
2024-01-05 20:50:00,LOT0045,172,326,Security
2024-01-05 20:52:00,ROU1857,166,173,Security
2024-01-05 20:53:00,ACA0859,179,527,Security
2024-01-05 20:56:00,JZA0883,160,98,Security
2024-01-05 21:05:00,JZA0997,162,58,Security
2024-01-05 21:06:00,AVA0204,181,228,Security
2024-01-05 21:08:00,ACA2094,165,332,Security
2024-01-05 21:09:00,EVA0036,178,414,Security
2024-01-05 21:26:00,TAP0261,175,224,Security
2024-01-05 21:37:00,UAL3434,164B,98,Security
2024-01-05 21:40:00,ACA0967,174,393,Security
2024-01-05 22:18:00,ACA1337,163,222,Security
2024-01-05 22:23:00,ROU1865,168,257,Security
2024-01-05 22:33:00,ACA1339,161,196,Security
2024-01-05 23:02:00,ROU1661,176,232,Security
2024-01-05 23:36:00,ACA1091,177,385,Security
2024-01-05 23:41:00,UAL3593,164B,86,Security
2024-01-06 00:00:00,ACA0792,172,201,Security
2024-01-06 00:01:00,CMP0470,181,206,Security
2024-01-06 00:03:00,UAL6098,162,83,Security
2024-01-06 00:38:00,ACA1029,161,393,Security
2024-01-06 00:46:00,ACA1205,174,337,Security
2024-01-06 00:51:00,ROU1755,173,259,Security
2024-01-06 01:43:00,ROU1813,172,258,Security
2024-01-06 01:56:00,ACA0742,170,201,Security
2024-01-06 05:31:00,ACA0091,175,398,Security
2024-01-06 05:59:00,ACA0043,174,394,Security
2024-01-06 07:10:00,ACA1280,174,304,Security
2024-01-06 07:11:00,ACA0992,168,218,Security
2024-01-06 07:27:00,ACA0057,179,508,Security
2024-01-06 07:28:00,JZA0873,164A,85,Security
2024-01-06 07:43:00,ACA0794,178,373,Security
2024-01-06 07:44:00,MSR0995,173,447,Security
2024-01-06 07:48:00,AIC0187,171,417,Security
2024-01-06 08:01:00,JZA0541,162,85,Security
2024-01-06 08:41:00,ETH0552,172,454,Security
2024-01-06 08:57:00,JZA0983,160,101,Security
